"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source"
"Atteia, G.; Alabdulhafith, M.; Abdallah, H.A.; Abdel Samee, N.; Alayed, W.","Atteia, Ghada Emam (16202129900); Alabdulhafith, Maali Ibrahim (55650519900); Abdallah, Hanaa A. (35776128600); Abdel Samee, Nagwan (55326012400); Alayed, Walaa M. (56028813200)","16202129900; 55650519900; 35776128600; 55326012400; 56028813200","Deep learning-based decision support system for cervical cancer identification in liquid-based cytology pap smears","2025","Technology and Health Care","1","10.1177/09287329251330081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016024735&doi=10.1177%2F09287329251330081&partnerID=40&md5=fdfe16fd4e69be844a6f01827be5b822","Background: Cervical cancer is the fourth most common cause of women cancer deaths worldwide. The primary etiology of cervical cancer is the persistent infection of specific high-risk strains of the human papillomavirus. Liquid-based cytology is the established method for early detection of cervical cancer. The evaluation of cellular abnormalities at a microscopic level allows for the identification of malignant or precancerous features in liquid-based cytology pap smears. This technique is characterized by its time-consuming nature and susceptibility to both inter- and intra-observer variability. Hence, the utilization of Artificial Intelligence in computer-assisted diagnosis can reduce the duration needed for diagnosing this ailment, thereby eliminating delayed diagnosis and facilitating the implementation of an efficient treatment. Objective: This research presents a new deep learning-based cervical cancer identification decision support system in liquid-based cytology smear images. Methods: The proposed diagnosis support system incorporates a novel hybrid feature reduction and optimization module, which integrates a sparse Autoencoder with the Binary Harris Hawk metaheuristic optimization algorithm to select the most informative features from a supplemented feature set of the input images. The supplemented feature set is retrieved by three pretrained Convolutional Neural Networks. The module utilizes an improved feature set to conduct a Bayesian-optimized K Nearest Neighbors machine learning classification of cervical cancer in input Pap smears. Results: The introduced approach achieves a classification accuracy of 99.9% and demonstrates an improved ability to detect the stages of cervical cancer, with a sensitivity of 99.8%. In addition, the system has the ability to identify the lack of cervical cancer stages with a specificity rate of 99.9%. Conclusion: The proposed system outpaces recent deep learning-based cervical cancer identification systems. © The Author(s) 2025","40302490","Article","Final","","Scopus"
"Waqas, A.; Tripathi, A.; Ahmed, S.; Mukund, A.; Farooq, H.; Johnson, J.O.; Stewart, P.A.; Naeini, M.; Schabath, M.B.; Rasool, G.","Waqas, Asim (57226283697); Tripathi, Aakash (57695022600); Ahmed, Sabeen (57695262100); Mukund, Ashwin (59156199000); Farooq, Hamza (57207795462); Johnson, Joseph O. (35100599100); Stewart, Paul Allen (7403039434); Naeini, Mia Rahnamay (59157835800); Schabath, Matthew B. (6603452555); Rasool, Ghulam (57188549397)","57226283697; 57695022600; 57695262100; 59156199000; 57207795462; 35100599100; 7403039434; 59157835800; 6603452555; 57188549397","Self-Normalizing Multi-Omics Neural Network for Pan-Cancer Prognostication","2025","International Journal of Molecular Sciences","1","10.3390/ijms26157358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013239599&doi=10.3390%2Fijms26157358&partnerID=40&md5=4b514e4ed6cd07f18fb14cf812260b1f","Prognostic markers such as overall survival (OS) and tertiary lymphoid structure (TLS) ratios, alongside diagnostic signatures like primary cancer-type classification, provide critical information for treatment selection, risk stratification, and longitudinal care planning across the oncology continuum. However, extracting these signals solely from sparse, high-dimensional multi-omics data remains a major challenge due to heterogeneity and frequent missingness in patient profiles. To address this challenge, we present SeNMo, a self-normalizing deep neural network trained on five heterogeneous omics layers—gene expression, DNA methylation, miRNA abundance, somatic mutations, and protein expression—along with the clinical variables, that learns a unified representation robust to missing modalities. Trained on more than 10,000 patient profiles across 32 tumor types from The Cancer Genome Atlas (TCGA), SeNMo provides a baseline that can be readily fine-tuned for diverse downstream tasks. On a held-out TCGA test set, the model achieved a concordance index of 0.758 for OS prediction, while external evaluation yielded 0.73 on the CPTAC lung squamous cell carcinoma cohort and 0.66 on an independent 108-patient Moffitt Cancer Center cohort. Furthermore, on Moffitt’s cohort, baseline SeNMo fine-tuned for TLS ratio prediction aligned with expert annotations (p < 0.05) and sharply separated high- versus low-TLS groups, reflecting distinct survival outcomes. Without altering the backbone, a single linear head classified primary cancer type with 99.8% accuracy across the 33 classes. By unifying diagnostic and prognostic predictions in a modality-robust architecture, SeNMo demonstrated strong performance across multiple clinically relevant tasks, including survival estimation, cancer classification, and TLS ratio prediction, highlighting its translational potential for multi-omics oncology applications. © 2025 by the authors.","40806487","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"AbdulAzeem, Y.; Balaha, H.M.; ZainEldin, H.; Abuain, W.A.; Badawy, M.; Elhosseini, M.A.","AbdulAzeem, Yousry M. (36959370100); Balaha, Hossam Magdy (57218166307); ZainEldin, Hanaa Y. (56677719700); Abuain, Waleed Abdel Karim (58902341000); Badawy, Mahmoud Mohammed (24723484700); Elhosseini, Mostafa A. (56050513100)","36959370100; 57218166307; 56677719700; 58902341000; 24723484700; 56050513100","Challenging the status quo: Why artificial intelligence models must go beyond accuracy in cervical cancer diagnosis","2025","Biomedical Signal Processing and Control","5","10.1016/j.bspc.2025.107620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216710450&doi=10.1016%2Fj.bspc.2025.107620&partnerID=40&md5=b661ab9a87c6c614c2420f19ff3e7204","Cervical cancer is a significant health issue affecting women globally, with a high number of new cases and deaths reported each year. The disease is linked to HPV infection, but early detection through Pap smear tests can significantly increase performance. Deep learning techniques, particularly convolutional neural networks, transfer learning, generative adversarial networks, and attention mechanisms, are employed to identify cervical cancer. These innovative methods can increase the effectiveness and efficiency of cervical cancer screening and diagnosis. Although these technologies provide advantages for diagnosing cervical cancer, issues related to the availability and integrity of data, interpretability of models, and integration into clinical workflows exist. A computer-aided diagnostic system that uses vision transformers, a majority fusion mechanism, and explainable artificial intelligence is presented to address these challenges. This framework aims to increase cervical cancer detection accuracy and efficiency. Two cutting-edge datasets, DTU/Herlev and SIPaKMeD, are used to evaluate the system, yielding overall accuracy results of 99.22% and 99.8%, respectively. A comparison of the suggested framework with state-of-the-art methods revealed equivalent or even better results. © 2025 Elsevier Ltd","","Article","Final","","Scopus"
"Raza, M.A.; Ur Rehman, H.U.R.; Saleem, A.A.; Zafar, K.; Zafar, A.; Dudley, S.; Iqbal, M.","Raza, Muhammad Amjad (57918902000); Ur Rehman, Hafeez Ur Rehman (58580612500); Saleem, Adil Ali (57214224665); Zafar, Kainat (57903695900); Zafar, Afia (57204392798); Dudley, Sandra E.M. (7006033464); Iqbal, Muhammad Z. (58784466500)","57918902000; 58580612500; 57214224665; 57903695900; 57204392798; 7006033464; 58784466500","Advanced Feature Extraction for Cervical Cancer Image Classification: Integrating Neural Feature Extraction and AutoInt Models","2025","Sensors","1","10.3390/s25092826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004901557&doi=10.3390%2Fs25092826&partnerID=40&md5=ea3b53ca32571d058ade255886e0c522","Cervical cancer remains a significant global public health challenge, affecting over half a million women annually, with a mortality rate of approximately 60%, especially in resource-limited regions. This study presents an advanced methodology for cervical cancer diagnosis through deep learning techniques. Utilizing a publicly available cervical cancer image dataset, the research introduces a novel classification framework that integrates a Neural Feature Extractor (NFE) based on a pre-trained VGG16 architecture and an AutoInt model for automatic feature interaction learning. The extracted features are processed through machine learning classifiers such as KNN, LGBM, Extra Trees, and others for classification tasks. Among these classifiers, KNN achieved the highest accuracy of 99.96%, followed closely by LGBM at 99.92%. This study also assesses the computational complexity of various models, demonstrating that simpler models like LDA exhibit faster prediction times, while more complex models, such as KNN and LGBM, provide higher accuracy. These findings highlight the potential of deep learning frameworks in improving cervical cancer classification accuracy, especially in resource-limited environments. © 2025 by the authors.","40363261","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Saady, M.; Eissa, M.; Yacoub, A.S.; Hamed, A.B.; Azzazy, H.M.E.-S.","Saady, Marwa (57868664900); Eissa, Mahmoud (58036517900); Yacoub, Ahmed S. (57685622800); Hamed, Ahmed B. (58208408800); Azzazy, Hassan Mohamed El Said (6602099385)","57868664900; 58036517900; 57685622800; 58208408800; 6602099385","Implementation of artificial intelligence approaches in oncology clinical trials: A systematic review","2025","Artificial Intelligence in Medicine","7","10.1016/j.artmed.2025.103066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215442334&doi=10.1016%2Fj.artmed.2025.103066&partnerID=40&md5=d94cade90b69418dc347a1de69cce435","Introduction: There is a growing interest in leveraging artificial intelligence (AI) technologies to enhance various aspects of clinical trials. The goal of this systematic review is to assess the impact of implementing AI approaches on different aspects of oncology clinical trials. Methods: Pertinent keywords were used to find relevant articles published in PubMed, Scopus, and Google Scholar databases, which described the clinical application of AI approaches. A quality evaluation utilizing a customized checklist specifically adapted was conducted. This study is registered with PROSPERO (CRD42024537153). Results: Out of the identified 2833 studies, 72 studies satisfied the inclusion criteria. Clinical Trial Enrollment & Eligibility were among the most commonly studied clinical trial aspects with 30 papers. The prediction of outcomes was covered in 25 studies of which 15 addressed the prediction of patients' survival and 10 addressed the prediction of drug outcomes. The trial design was studied in 10 articles. Three studies addressed each of the personalized treatments and decision-making, while one addressed data management. The results demonstrate using AI in cancer clinical trials has the potential to increase clinical trial enrollment, predict clinical outcomes, improve trial design, enhance personalized treatments, and increase concordance in decision-making. Additionally, automating some areas and tasks, clinical trials were made more efficient, and human error was minimized. Nevertheless, concerns and restrictions related to the application of AI in clinical studies are also noted. Conclusion: AI tools have the potential to revolutionize the design, enrollment rate, and outcome prediction of oncology clinical trials. © 2025","39837136","Review","Final","","Scopus"
"Deo, B.S.; Nayak, S.; Pal, M.; Panigrahi, P.K.; Pradhan, A.","Deo, Bhaswati Singha (58022621900); Nayak, Sidharthenee (58925398300); Pal, Mayukha (56374574900); Panigrahi, Prasanta Kumar (35511789800); Pradhan, Asima K. (7201398116)","58022621900; 58925398300; 56374574900; 35511789800; 7201398116","Empirical mode decomposition and Hessian LLE in Fluorescence spectral signal analysis for Cervical cancer detection","2025","Biomedical Signal Processing and Control","1","10.1016/j.bspc.2024.106917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204694426&doi=10.1016%2Fj.bspc.2024.106917&partnerID=40&md5=ab17126641153e72c9e6ec39df91f4c6","Cervical cancer is a significant cause of female mortality worldwide. The timely and accurate identification of different stages of cervical cancer has the capacity to significantly improve both treatment efficacy and patient survival duration. Fluorescence spectroscopy acts as a significantly sensitive technique for identifying the biochemical changes that occur during the advancement of cancer. Fluorescence spectral data was collected from a diverse set of 110 human cervix samples in our study. The spectral data underwent an initial preprocessing step that included data normalization. Subsequently, empirical mode decomposition (EMD) was utilized to decompose the signal into several intrinsic mode functions within the spectral domain. Thereafter, various nonlinear dimensionality reduction methods, including Isomap, Local Linear Embedding (LLE), and Hessian LLE, were applied to extract more informative features in a lower-dimensional representation. Furthermore, a 1D convolutional neural network (CNN) was employed to categorize the lower dimensional spectral signals into three classes: normal, pre-cancerous, and cancerous. The proposed methodology attained the best evaluation metrics using the Hessian LLE dimensionality reduction technique. A mean classification accuracy, precision, recall, F1-score, and specificity of 98.72%, 98.02%, 98.61%, 98.00%, and 99.30%, respectively, were obtained through a 5-fold cross-validation technique. The combination of fluorescence spectroscopy and machine learning holds promise for detecting cancer at earlier stages than current diagnostic methods. © 2024 Elsevier Ltd","","Article","Final","","Scopus"
"Fei, M.; Zhang, X.; Chen, D.; Song, Z.; Wang, Q.; Zhang, L.","Fei, Manman (58660476500); Zhang, Xin (59871641600); Chen, Dongdong (59445157500); Song, Zhiyun (58621436000); Wang, Qian (57192157811); Zhang, Lichi (57218867079)","58660476500; 59871641600; 59445157500; 58621436000; 57192157811; 57218867079","Whole slide cervical cancer classification via graph attention networks and contrastive learning","2025","Neurocomputing","2","10.1016/j.neucom.2024.128787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207275578&doi=10.1016%2Fj.neucom.2024.128787&partnerID=40&md5=864396b1a6283d8752563d3f7292dfc2","Cervical cancer is one of the most common cancers among women, which seriously threatens women's health. Early screening can reduce the incidence rate and mortality. Thinprep cytologic test (TCT) is one of the important means of cytological screening, which has high sensitivity and specificity, and has been widely used in the early screening of cervical cancer. The automatic diagnosis of whole slide images (WSIs) by computers can effectively improve the efficiency and accuracy of doctors’ diagnoses. However, current methods ignore the intrinsic relationships between cervical cells in WSIs and neglect contextual information from the surrounding suspicious areas, and therefore limit their robustness and generalizability. In this paper, we propose a novel two-stage method to implement the automatic diagnosis of WSIs, which constructs Graph Attention Networks (GAT) based on local and global fields respectively to capture their contextual information in a hierarchical manner. In the first stage, we extract representative patches from each WSI through suspicious cell detection, and then employ a Local GAT to classify cervical cells by capturing correlations between suspicious cells in image tiles. This classification process provides the confidence and feature vectors for each suspicious cell. In the second stage, we perform WSI classification using a Global GAT model. We construct graphs corresponding to top-K<inf>g</inf> and bottom-K<inf>g</inf> cells for each WSI based on results from Local GAT, and introduce a supervised contrastive learning strategy to enhance the discriminative power of the extracted features. Experimental results demonstrate that our proposed method outperforms conventional approaches and effectively showcases the benefits of supervised contrastive learning. Our source code and example data are available at https://github.com/feimanman/Whole-Slide-Cervical-Cancer-Classification. © 2024 Elsevier B.V.","","Article","Final","","Scopus"
"Todsaporn, D.; Sanachai, K.; Aonbangkhen, C.; Geronikaki, A.; Kartsev, V.; Lichitsky, B.; Komogortsev, A.; Maitarad, P.; Rungrotmongkol, T.","Todsaporn, Duangjai (57734251200); Sanachai, Kamonpan (57214091410); Aonbangkhen, Chanat (56525224200); Geronikaki, Athina A. (6603804651); Kartsev, Victor G. (7003562134); Lichitsky, Boris V. (6603355897); Komogortsev, Andrey N. (26428828500); Maitarad, Phornphimon (24779851700); Rungrotmongkol, Thanyada (6507384130)","57734251200; 57214091410; 56525224200; 6603804651; 7003562134; 6603355897; 26428828500; 24779851700; 6507384130","Exploring novel furochochicine derivatives as promising JAK2 inhibitors in HeLa cells: Integrating docking, QSAR-ML, MD simulations, and experiments","2025","Computational and Structural Biotechnology Journal","0","10.1016/j.csbj.2025.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013505796&doi=10.1016%2Fj.csbj.2025.08.007&partnerID=40&md5=79525e6d18740e157b1b40754812e562","Cervical cancer, largely driven by high-risk human papillomavirus (HPV), remains a global health challenge. Janus tyrosine kinase 2 (JAK2) has emerged as a promising therapeutic target for HPV-induced malignancies. This study employed both in silico and in vitro approaches to discover novel JAK2 inhibitors from a library of 76 furochochicine (FCC) derivatives. Twenty-nine compounds were selected via virtual screening, synthesized, and tested for cytotoxicity against HeLa cells. Four FCCs showed potent cytotoxicity with selectivity indices (SI) greater than 3. These cytotoxicity data were used to construct QSAR models with machine learning; eXtreme Gradient Boosting (XGB) yielded the best performance (RMSE = 0.177, R² = 0.831, MAPE = 2.93 %) and was used to predict additional FCC derivatives. FCC90 emerged as a lead compound with strong predictive accuracy (MAPE = 1.43 %) and selectivity (SI = 3.25). JAK2 kinase assays revealed strong inhibition by FCC6, FCC27, and FCC90 (IC₅₀ = 9.10–27.34 nM), with FCC6 and FCC27 surpassing ruxolitinib. Flow cytometry confirmed apoptosis and sub-G1 cell cycle arrest. Molecular dynamics simulations supported the stability of FCC–JAK2 complexes. Furthermore, all active compounds met extended Rule of Five (eRo5) criteria. These findings highlight the potential of FCC derivatives as JAK2 inhibitors for cervical cancer therapy. © 2025 The Authors","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Fu, Y.; Zhang, X.; Yu, L.; Zhang, G.; Liu, X.; Ren, W.","Fu, Yao (59694960900); Zhang, Xiubing (59694789100); Yu, Lili (59695474600); Zhang, Guiping (59694789200); Liu, Xinyu (59695638300); Ren, Wei (59604935400)","59694960900; 59694789100; 59695474600; 59694789200; 59695638300; 59604935400","Integrated immunological analysis of single-cell and bulky tissue transcriptomes reveals the role of prognostic value of T cell-related genes in cervical cancer","2025","Computer Methods in Biomechanics and Biomedical Engineering","1","10.1080/10255842.2025.2475483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000212538&doi=10.1080%2F10255842.2025.2475483&partnerID=40&md5=659f1f300d965c6cecb3e6c2088a7e6c","The relationship between cervical cancer (CESC) and T cells is mainly seen in the anti-tumor functions of T cells. This study aims to identify prognostic genes associated with CESC and T cells, providing a foundation for developing immunotherapy strategies. This study used data from public databases to identify T cell-related prognostic genes for CESC patients through differential expression analysis and single-cell clustering. A prognostic risk model and nomogram were constructed and validated based on these genes. Pseudotime analysis clarified T cell differentiation processes in CESC. Ultimately, Mendelian randomization (MR) was applied to determine the causal relationship between the prognostic genes and CESC. In this study, CXCL2, ANKRD22, SPP1, and C1QB were identified as prognostic genes for CESC. Survival analysis indicated that the survival rate of the high-risk cohort (HRC) was significantly lower compared to that of the low-risk cohort (LRC). A nomogram also demonstrated strong predictive capability. Notably, higher expression levels of prognostic genes were observed during the early stages of T cell differentiation. MR analyses revealed that SPP1 was a risk factor for CESC (OR = 1.165; 95% CI: 1.028–1.320; p =.017), while C1Q8 acted as a protective factor (OR = 0.820; 95% CI: 0.685–0.983; p =.032). CXCL2, ANKRD22, SPP1, and C1QB showed strong prognostic characteristics in CESC and significant predictive capabilities for patient outcomes. The study also emphasized the critical role of T cells in CESC progression. © 2025 Informa UK Limited, trading as Taylor & Francis Group.","40062860","Article","Final","","Scopus"
"Arrivillaga, M.; Bermúdez, P.C.; Garcia-Cifuentes, J.P.; Vargas-Cardona, H.D.; Neira, D.; del Mar Torres, M.; Rodriguez-Lopez, M.; Morales, D.; Arizala, B.","Arrivillaga, Marcela (35241931900); Bermúdez, Paula C. (57218656175); Garcia-Cifuentes, Juan Pablo (57211334564); Vargas-Cardona, Hernán Darío (55516207600); Neira, Daniela (58134954000); del Mar Torres, Maria (59424124800); Rodriguez-Lopez, Mérida Rosa (56577971200); Morales, Daniela (57191985651); Arizala, Bleider (59424165600)","35241931900; 57218656175; 57211334564; 55516207600; 58134954000; 59424124800; 56577971200; 57191985651; 59424165600","Designing CITOBOT: A portable device for cervical cancer screening using human-centered design, smart prototyping, and artificial intelligence","2024","Computational and Structural Biotechnology Journal","3","10.1016/j.csbj.2024.11.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210117745&doi=10.1016%2Fj.csbj.2024.11.018&partnerID=40&md5=d9655300d2646a2df386b9933175e2d2","Cervical cancer remains a leading cause of mortality in its invasive stages, presenting a significant global public health challenge, particularly in low- and middle-income countries. Despite technological advancements that have improved the quality of cervical images captured during visual inspections, several challenges persist. This article presents key findings from the CITOBOT-COL translational research project, a large-scale initiative focused on designing CITOBOT as a portable cervical cancer screening device. We detail the comprehensive technological development of CITOBOT, guided by a human-centered design approach, smart prototyping, and the integration of AI. Over four design iterations, we developed and refined CITOBOT v4, a portable device. Prototypes were validated through focus groups and testing by experts in cervical cancer prevention, gynecology, nursing, software, artificial intelligence, computer engineering, and public health, utilizing various anatomical models at the Simulated Hospital Laboratory of Pontificia Universidad Javeriana Cali, Colombia. Additionally, we developed AI algorithms using the Inception V3 network, optimized with Transfer Learning and Fine Tuning, for cervical image classification and offline-operating software that guides the physician through the examination and provides a risk assessment for cervical cancer. Feedback was crucial in assessing and refining the device's functionality, focusing on capturing high-quality cervical images. The development of CITOBOT v4 highlights the importance of fostering innovation in resource-limited settings, offering an effective solution to improve cervical cancer screening and potentially save lives in vulnerable communities. © 2024 The Authors","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Song, J.; Wang, L.; Yan, J.; Feng, Y.; Zhang, Y.","Song, Jiayu (57218448833); Wang, Le (57196330884); Yan, Jiazhuo (57224993167); Feng, Yue (57203740957); Zhang, Yunyan (54583010700)","57218448833; 57196330884; 57224993167; 57203740957; 54583010700","Enhancing cervical precancerous lesion detection using African Vulture Optimization Algorithm with Deep Learning model","2024","Biomedical Signal Processing and Control","4","10.1016/j.bspc.2024.106665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199432049&doi=10.1016%2Fj.bspc.2024.106665&partnerID=40&md5=b616a40967b13fcbffa1864a9a4e33d3","Cervical cancer (CC) is a major cause of mortality among women, mainly in emerging countries, including India. Recent technological advancements have the potential to enable quick, cost-effective, and more sensitive screening and treatment measures for CC. Consequently, deep learning (DL)-based approaches have gained importance in classifying CC patients into distinct risk groups. This study proposes an African Vulture Optimization Algorithm with Deep Learning assisted Cervical Cancer Detection (AVOADL-CCD) technique. The AVOADL-CCD technique follows Wiener filtering for image pre-processing. Besides, the AVOADL-CCD technique applies Capsule Networks (CapsNet) model for deriving feature vectors. The AVOA can be applied to the CapsNet model for the hyperparameter tuning process. For the automated recognition and classification of CC, an adaptive neuro-fuzzy inference system (ANFIS) model can be exploited. The experimental outcomes of the AVOADL-CCD method take place on the Herlev dataset. The simulation values show the enhanced detection results of the AVOADL-CCD algorithm over existing techniques with a maximum accuracy of 99.53%. © 2024","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
"Rönnau, M.M.; Lepper, T.W.; Guedes, I.C.; Espinosa, A.L.F.; Rados, P.V.; De Oliveira Neto, M.M.","Rönnau, Maikel Maciel (58000615900); Lepper, Tatiana Wannmacher (58591813600); Guedes, I. C. (59248660200); Espinosa, Ana Laura Ferrares (59248660300); Rados, P. V. (55667503500); De Oliveira Neto, Manuel Menezes (10141769500)","58000615900; 58591813600; 59248660200; 59248660300; 55667503500; 10141769500","Automatic segmentation and classification of Papanicolaou-stained cells and dataset for oral cancer detection","2024","Computers in Biology and Medicine","5","10.1016/j.compbiomed.2024.108967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200597131&doi=10.1016%2Fj.compbiomed.2024.108967&partnerID=40&md5=b21e0f95112a741963a172f9eb7303da","Background and Objective: Papanicolaou staining has been successfully used to assist early detection of cervix cancer for several decades. We postulate that this staining technique can also be used for assisting early detection of oral cancer, which is responsible for about 300,000 deaths every year. The rational for such claim includes two key observations: (i) nuclear atypia, i.e., changes in volume, shape, and staining properties of the cell nuclei can be linked to rapid cell proliferation and genetic instability; and (ii) Papanicolaou staining allows one to reliably segment cells’ nuclei and cytoplasms. While Papanicolaou staining is an attractive tool due to its low cost, its interpretation requires a trained pathologist. Our goal is to automate the segmentation and classification of morphological features needed to evaluate the use of Papanicolaou staining for early detection of mouth cancer. Methods: We built a convolutional neural network (CNN) for automatic segmentation and classification of cells in Papanicolaou-stained images. Our CNN was trained and evaluated on a new image dataset of cells from oral mucosa consisting of 1,563 Full HD images from 52 patients, annotated by specialists. The effectiveness of our model was evaluated against a group of experts. Its robustness was also demonstrated on five public datasets of cervical images captured with different microscopes and cameras, and having different resolutions, colors, background intensities, and noise levels. Results: Our CNN model achieved expert-level performance in a comparison with a group of three human experts on a set of 400 Papanicolaou-stained images of the oral mucosa from 20 patients. The results of this experiment exhibited high Interclass Correlation Coefficient (ICC) values. Despite being trained on images from the oral mucosa, it produced high-quality segmentation and plausible classification for five public datasets of cervical cells. Our Papanicolaou-stained image dataset is the most diverse publicly available image dataset for the oral mucosa in terms of number of patients. Conclusion: Our solution provides the means for exploring the potential of Papanicolaou-staining as a powerful and inexpensive tool for early detection of oral cancer. We are currently using our system to detect suspicious cells and cell clusters in oral mucosa slide images. Our trained model, code, and dataset are available and can help practitioners and stimulate research in early oral cancer detection. © 2024 Elsevier Ltd","39111154","Article","Final","","Scopus"
"Elayaraja, P.; Kumarganesh, S.; Martin Sagayam, K.M.; Jeyabose, J.","Elayaraja, P. (57205232992); Kumarganesh, S. (56826097300); Martin Sagayam, K. (56938711400); Jeyabose, Andrew A. (57214601875)","57205232992; 56826097300; 56938711400; 57214601875","An automated cervical cancer diagnosis using genetic algorithm and CANFIS approaches","2024","Technology and Health Care","3","10.3233/THC-230926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198683428&doi=10.3233%2FTHC-230926&partnerID=40&md5=02253d168eb97c7e4e43bca8422a1295","BACKGROUND: Cervical malignancy is considered among the most perilous cancers affecting women in numerous East African and South Asian nations, both in terms of its prevalence and fatality rates. OBJECTIVE: This research aims to propose an efficient automated system for the segmentation of cancerous regions in cervical images. METHODS: The proposed techniques encompass preprocessing, feature extraction with an optimized feature set, classification, and segmentation. The original cervical image undergoes smoothing using the Gaussian Filter technique, followed by the extraction of Local Binary Pattern (LBP) and Grey Level Co-occurrence Matrix (GLCM) features from the enhanced cervical images. LBP features capture pixel relationships within a mask window, while GLCM features quantify energy metrics across all pixels in the images. These features serve to distinguish normal cervical images from abnormal ones. The extracted features are optimized using Genetic Algorithm (GA) as an optimization method, and the optimized sets of features are classified using the Co-Active Adaptive Neuro-Fuzzy Inference System (CANFIS) classification method. Subsequently, a morphological segmentation technique is employed to categorize irregular cervical images, identifying and segmenting malignant regions within them. RESULTS: The proposed approach achieved a sensitivity of 99.09%, specificity of 99.39%, and accuracy of 99.36%. CONCLUSION: The proposed approach demonstrated superior performance compared to state-of-The-Art techniques, and the results have been validated by expert radiologists. © 2024-IOS Press. All rights reserved.","38251073","Article","Final","","Scopus"
"Xin, W.; Rixin, S.; Linrui, L.; Zhihui, Q.; Long, L.; Zhang, Z.","Xin, Wang (57935476500); Rixin, Su (59139021300); Linrui, Li (56387550700); Zhihui, Qin (58664021400); Long, Liu (57869992400); Zhang, Yu (57226580940)","57935476500; 59139021300; 56387550700; 58664021400; 57869992400; 57226580940","Machine learning-based radiomics for predicting outcomes in cervical cancer patients undergoing concurrent chemoradiotherapy","2024","Computers in Biology and Medicine","23","10.1016/j.compbiomed.2024.108593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193966977&doi=10.1016%2Fj.compbiomed.2024.108593&partnerID=40&md5=70074a8a5da6f4038ec4c47bea5d4ead","Purposes: To investigate the value of machine learning-based radiomics for predicting disease-free survival (DFS) and overall survival (OS) undergoing concurrent chemoradiotherapy (CCRT) for patients with locally advanced cervical cancer (LACC). Materials and methods: In this multicentre study, 700 patients with IB2-IVA cervical cancer who underwent CCRT with ongoing follow-up were retrospectively analyzed. Three-dimensional radiomics features of primary lesions and its surrounding 5 mm region in T2WI sequences were collected. Six machine learning methods were used to construct the optimal radiomics model for accurate prediction of DFS and OS after CCRT in LACC patients. Eventually, TCGA and GEO databases were used to explore the mechanisms of radiomics in predicting the progression and survival of cervical cancer. This study adhered CLEAR for reporting and its quality was assessed using RQS and METRICS. Results: In the prediction of DFS, the RSF model combined tumor and peritumor radiomics demonstrated the best predictive efficacy, with the AUC for predicting 1-year, 3-year, and 5-year DFS in the training, validation, and test sets of 0.986, 0.989, 0.990, and 0.884, 0.838, 0.823, and 0.829, 0.809, 0.841, respectively. In the prediction of OS, the GBM model best performer, with AUC of 0.999, 0.995, 0.978, and 0.981, 0.975, 0.837, and 0.904, 0.860, 0.905. Differential genes in TCGA and GEO suggest that the prediction of radiomics model may be associated with KDELR2 and HK2. Conclusion: Machine learning-based radiomics models help to predict DFS and OS after CCRT in LACC patients, and the combination of tumor and peritumor information has higher predictive efficacy, which can provide a reliable basis for therapeutic decision-making in cervical cancer patients. © 2024 Elsevier Ltd","38801795","Article","Final","","Scopus"
